brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,drive_train_dummies,performance engine,fuel_type_dummies,efficiency
Honda,Pilot Special Edition,2021.0,51299.0,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,Black,Modern Steel Metallic,35999.0,1,1,1.0,1.0
Mercedes-Benz,GL-Class GL 450 4MATIC,2014.0,79279.0,4.7L V8 32V GDI DOHC Twin Turbo,4.7,7-Speed Automatic,1.0,Gasoline,Four-wheel Drive,21.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Black,Obsidian Black Metallic,22349.0,1,1,1.0,1.0
Mitsubishi,Outlander Sport SE,2021.0,31976.0,2.0L I4 16V MPFI DOHC,2.0,Automatic CVT,1.0,Gasoline,Four-wheel Drive,24.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Gray,Silver,19499.0,1,0,1.0,1.0
Porsche,968,1994.0,92025.0,3.0L I4 16V MPFI DOHC,3.0,6-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,10.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Saddle,White,12960.0,3,1,1.0,0.0
MINI,Hardtop Cooper,2016.0,43418.0,1.5L I3 12V GDI DOHC Turbo,1.5,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,21.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Carbon Black,Electric Blue Metallic,16500.0,3,0,1.0,1.0
Land,Rover Range Rover Sport Supercharged HSE,2016.0,57361.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,20.0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Almond / Espresso / Ivory,Fuji White,33695.0,1,1,1.0,1.0
Jeep,Grand Cherokee Altitude,2018.0,88138.0,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,17.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Black,Bright White Clearcoat,23990.0,3,1,1.0,0.0
Mazda,CX-3 Touring,2017.0,42142.0,2.0L I4 16V GDI DOHC,2.0,6-Speed Automatic,1.0,Gasoline,Four-wheel Drive,26.0,35.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Black,Meteor Gray Mica,18994.0,1,0,1.0,1.0
Alfa,Romeo Stelvio Ti,2019.0,20444.0,2.0L I4 16V GDI SOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,23.0,31.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Black,Rosso,32472.0,1,0,1.0,1.0
Kia,Niro LXS,2020.0,20247.0,1.6L I4 16V GDI DOHC Hybrid,1.6,6-Speed Automatic with Auto-Shift,1.0,Hybrid,Front-wheel Drive,23.0,34.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Gray,Snow White Pearl,22995.0,3,0,2.0,1.0
Jaguar,F-PACE SVR,2023.0,4385.0,Intercooled Supercharger Premium Unleaded V-8 5.0 L/305,5.0,Automatic,1.0,Gasoline,Four-wheel Drive,21.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Ebony/Ebony/Light Oyster,Fuji White,89977.0,1,1,1.0,1.0
Kia,Sorento X-Line EX,2022.0,5964.0,2.5L I4 16V PDI DOHC Turbo,2.5,8-Speed Automatic with Auto-Shift,1.0,Gasoline,Four-wheel Drive,18.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Gray,Passion Red Tintcoat,40735.0,1,0,1.0,1.0
MINI,Convertible John Cooper Works,2018.0,20226.0,2.0L I4 16V GDI DOHC Turbo,2.0,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,28.0,37.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Black,Midnight Black Metallic,28491.0,3,0,1.0,1.0
Audi,A8 L 3.0T,2016.0,94487.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Black,22995.0,1,1,1.0,1.0
Jeep,Grand Cherokee Limited,2018.0,71726.0,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,23.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Black,Diamond Black,26180.0,1,1,1.0,1.0
Toyota,Avalon Limited,2022.0,9980.0,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1.0,Gasoline,Front-wheel Drive,22.0,31.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Cognac,Wind Chill Pearl,42900.0,3,1,1.0,1.0
BMW,X3 M40i,2018.0,30245.0,3.0L I6 24V GDI DOHC Turbo,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,20.0,27.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Black,Phytonic Blue Metallic,39750.0,1,1,1.0,1.0
Porsche,911 GT3,2022.0,3651.0,4.0L H6 24V GDI DOHC,4.0,Automatic,1.0,Gasoline,Rear-wheel Drive,19.0,27.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Black,Red,279995.0,3,1,1.0,1.0
FIAT,124 Spider Abarth,2019.0,7154.0,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,26.0,35.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Nero,Forte Black Metallic,33871.0,3,0,1.0,1.0
Chevrolet,Tahoe High Country,2022.0,28174.0,6.2L V8 16V GDI OHV,6.2,10-Speed Automatic,1.0,Gasoline,Four-wheel Drive,14.0,19.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,Jet Black,Dark Ash Metallic,74223.0,1,1,1.0,0.0
Nissan,Titan S,2017.0,92973.0,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,30.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Black,Silver,18900.0,3,1,1.0,1.0
MINI,Countryman Cooper S ALL4,2015.0,87429.0,1.6L I4 16V GDI DOHC Turbo,1.6,6-Speed Automatic,1.0,Gasoline,Four-wheel Drive,24.0,34.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Carbon Black,Jungle Green,14592.0,1,0,1.0,1.0
Hyundai,Tucson Limited,2018.0,43291.0,1.6L I4 16V GDI DOHC Turbo,1.6,7-Speed Automatic with Auto-Shift,1.0,Gasoline,Four-wheel Drive,15.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Beige,Dazzling White,24582.0,1,0,1.0,0.0
Maserati,Levante Trofeo,2021.0,12075.0,3.8L V8 32V GDI DOHC Twin Turbo,3.8,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,14.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Red,Black,109900.0,1,1,1.0,0.0
